original_index,split_source,standard,A,B,C,winner
33,train,"hôm nay thấy hiếm cụ nhỉ , hồi đấy toàn vô Cầu Trỗi hái.","It's rare to see them today, isn't it? Back then, we used to go to Cau Troi to pick them.","It seems rare to see today, doesn't it? Back then, I used to go to Cau Troi to pick them all the time.","Today I notice [they're] quite rare, back then [we] would always go to Cầu Trỗi to pick [them].",A
7234,train,Mày ngứa miệng à?,Are you itching to talk?,Are you itching to say something?,Your mouth itching or something?,B
8681,train,Mẹ nào khéo đẻ vậy nhỉ?,What a skillful mother she is!,Which mother is so skilled at giving birth?,Which mother gave birth so skillfully?,
5982,train,Vậy cho rồi. Bữa nào sắm một tấm lưới chở đi.,Okay then. I'll buy a fishing net and take it somewhere sometime.,"Fine, let's go with that. Some day I'll buy a net to carry it.",Alright then. Sometime I'll get a net to take over there.,C
7065,train,Mày đi đâu vậy? Thế không về ăn cơm à?,Where are you going? Aren't you coming home for dinner?,Where are you going? So you're not coming back to eat?,Where are you going? So you're not coming home for dinner?,C
5884,train,Và anh ấy ném điện thoại lên nóc nhà.,And he threw the phone onto the roof.,And he threw the phone onto the roof of the house.,And he threw the phone onto the roof.,A
694,train,"thần tượng tuổi thơ đấy, chứ đùa à.","He's a childhood idol, no joke.","That's my childhood idol, no joke.","That's my childhood idol, seriously.",B
8944,train,"Chồng con không lo kiếm đi, đi khắp nơi làm khổ bà con vậy bão ơi là bão.","Instead of focusing on earning a living, he goes around causing trouble for his neighbors, oh what a terrible storm!","My husband doesn't worry about earning a living, but instead goes everywhere causing misery for people; oh storm, oh storm.","Husband and kids don't bother making money, going around everywhere to cause trouble for people, oh what a terrible storm!",
6720,train,"Toàn các em cao vút, thích nhỉ.","They're all so tall, how nice.","Everyone is so tall, how nice.","They're all so tall, I love it.",A
8312,train,"Có biết uống đâu, chắc hôm nào phải tập uống với người ta thôi.","I don't know how to drink, I guess I'll have to practice with someone sometime.","I don't even know how to drink, so I'll probably have to practice drinking with others some day.","I don't even know how to drink, so I'll probably just have to practice drinking with someone someday.",C
1160,train,"Em giờ nằm lê lết ở giường, đi đâu tranh nổi?","I'm lying here in bed right now, how could I possibly go anywhere to compete for anything?","I'm just lying around in bed right now, how could I possibly compete to go anywhere?","I can barely get out of bed now, let alone go anywhere.",A
3284,train,giờ có một đĩa trứng vịt lộn nhậu nữa là tuyệt vời,"Now, having a plate of fertilized duck eggs to go with the meal would be perfect.","Now, if there were a plate of fetal duck eggs to snack on, it would be wonderful.","Right now, if I had a plate of balut to eat while drinking, that would be amazing.",C
1768,train,em tiếp không để anh biết anh vê đây này,I continued without letting him know I was back here.,"Are you continuing, or should I know so I can go home now?",I won't continue so you know I'm coming back here,A
7300,train,Anh cụng 7 năm kinh nghiệm chứ gì nữa.,"He has 7 years of experience, right?","I have 7 years of experience, after all.","I have 7 years of experience, obviously.",C
4137,train,Hèn gì nằm mà thấy tê tê cả người!,No wonder I felt a tingling sensation all over my body while lying down!,No wonder I felt a tingling sensation all over my body while lying down!,No wonder my whole body feels all tingly when I lie down!,C
9148,train,Mày nói sân si con nhà họ vậy.,You're just being envious of their children.,Why are you being so judgmental about that family's child?,You say they're jealous of other people's kids like that.,C
10472,train,Trại nào cũng chết hết như vầy kia. Tội người kinh doanh.,Every camp is dying like this. It's a shame for the business owners.,Every farm is dying like that. I feel sorry for the business owners.,All camps are shutting down like this. Poor business owners.,C
9080,train,"Bạn thấy ai cứ xưng vợ vậy, rồi đã có ai chưa chứ cũng nhiều đó.","You see many people who keep calling themselves ""wife,"" but are they actually married? There are quite a few of them.",Who do you see calling themselves a wife like that? And have they actually had anyone yet? There are quite a few of them.,"Do you see someone who keeps calling themselves ""wife"" like that, then has anyone actually [become one] yet or not, there are quite many though.",A
7109,train,Trang nào cũng thấy anh vậy?,I see him on every page!,Why do I see you on every page?,Do you appear on every page like this?,B
4165,train,"Quảng Bình hôm nay xanh lắm, mát đẹp.",Quang Binh is so green and beautiful today.,"Quang Binh is very green today, cool and beautiful.","Quảng Bình is very green today, cool and beautiful.",C
621,train,Chỗ nào đây bạn nhỉ?,Where is this place?,"Where is this, my friend?",Where is this place?,A
2676,train,"Chắc mới ngủ dậy, chắc hè làm một chuyến ta đi câu biển.",He must have just woken up. Maybe we should take a fishing trip to the sea this summer.,"Probably just woke up, maybe we should take a trip to go sea fishing this summer.","Probably just woke up, I think I'll go on a sea fishing trip this summer.",B
9280,train,2 con báo đánh rồi chọc nhau cả ngày chứ không phải thiên thần.,"Those two leopards fought and teased each other all day, they weren't angels.","Two troublemakers who fight and tease each other all day, not angels.","The two little brats fought and poked at each other all day, not angels.",A
5214,train,10 năm quên nào được chị,How could I forget you after 10 years?,"Which 10 years, sister?","10 years, how could I possibly forget you?",C
1022,train,đợi đoạn chót nhé mọi người ngon lắm,"Wait until the end, everyone, it's delicious!","Wait for the last part, everyone, it's really good.","Wait for the ending, everyone, it's really good!",B
8733,train,Luyện mồm đi cái mạnh kìa.,"Practice your speaking skills, you're getting stronger!",Practice speaking more confidently.,"Practice more strongly, won't you!",A
1731,train,"Sợ ông bạn đây quá. Cố 2,3 năm nữa thôi nhé","I'm really scared of you, my friend. Just hold on for another two or three years, okay?","I'm so scared of this friend of mine. Just try for another 2 or 3 years, okay?","This guy here is incredible. Just push through 2-3 more years, okay?",A
8387,train,Cô này dâu nhà ai vậy ông?,"Whose daughter-in-law is she, sir?","Whose daughter-in-law is this woman, man?","Which family did this young woman marry into, sir?",A
9699,train,Tối mà không vào màn thì chỉ có sưng cả người.,"If you don't go under the mosquito net at night, your whole body will swell up.","If I don't sleep under a mosquito net at night, my whole body will just end up swollen.","If you don't go to bed at night, you'll just end up all swollen from mosquito bites.",B
3059,train,Dưới này không mưa. Nóng mồ hôi hột đây.,It's not raining down here. It's so hot I'm sweating profusely.,It's not raining down here. I'm sweating buckets.,It's not raining down here. I'm sweating bullets.,A
1277,train,Nghe nhạc là thấy vui vậy đấy,Listening to music makes me happy.,Listening to music just makes me feel happy like that.,"Listening to music, I just feel happy like that.",
5606,train,Nhớ ngồi ở đâu nữa không,Do you remember where else you sat?,Do you remember where else we sat?,Do you remember where we sat again?,B
6914,train,"gì cực vậy, Go thì không có bóng người","That's terrible, there's not a soul in sight on Go.",Why is it so extreme? There isn't a soul in Go.,"how extreme is that, Go is completely empty with no one around",A
1010,train,Bây giờ có lẽ không ai nói ghép nữa.,"Now, perhaps no one would say ""grafting"" anymore.",Perhaps no one talks about pairing anymore now.,Now probably no one talks about pairing up anymore.,C
1501,train,Thầy nào mà làm ăn uy tín thế này.,What a reputable teacher!,What a reputable teacher.,Which guy runs such trustworthy business like this.,A
303,train,mình cũng Quảng Trị sao không nghe được chị nói cái gì luôn,"I'm also from Quang Tri, but I couldn't hear anything you said.","I'm also from Quang Tri, but I can't understand anything you're saying.","I'm also from Quảng Trị, why can't I hear what you're saying at all",C
2927,train,Năm nay có như năm ngoái không nhỉ?,Will this year be like last year?,I wonder if this year will be like last year?,I wonder if this year will be like last year.,B
710,train,"Tặng hòn đá tắm để kỳ lưng cho nhau, sướng lắm mà không ngứa nữa.",Giving each other bath stones to scrub our backs is so nice and relieves the itching.,Give each other bathing stones to scrub each other's backs; it feels great and doesn't itch anymore.,Gifting each other bath stones to scrub each other's backs feels amazing and the itching is finally gone.,A
856,train,Sau này bay về Bình Phước cho lẹ.,I'll fly back to Binh Phuoc later to save time.,"In the future, I'll fly back to Binh Phuoc to make it faster.",Let's fly back to Bình Phước quickly later on.,A
9258,train,"Đắt gấp 3 lần , sợ.","It's three times more expensive, I'm scared.","Three times as expensive, I'm scared.","It's three times more expensive, I'm scared.",A
2751,train,Tay lái ẩu nhỉ?,"That's a reckless driver, isn't it?","Reckless driving, isn't it?",What a reckless driver!,A
1691,train,Vợ dùng hột không có quen nhá cô.,"My wife isn't used to using seeds, you know.","My wife isn't used to using seeds, ma'am.","My wife uses it but isn't familiar with it, dear.",B
5360,train,nào có dịp đi check-in phát nhỉ?,When will we have the chance to go check it out?,"When there's an opportunity, let's go check in, shall we?","Let's go check in whenever we get the chance, yeah?",A
8961,train,Đẹp thật nhưng mà tôi lười ra đường chơi khủng khiếp!,"It's beautiful, but I'm incredibly lazy about going out!","It's truly beautiful, but I'm terribly lazy to go out!","It's really beautiful, but I'm way too lazy to go out and have fun!",C
5431,train,"sang ghê vậy, nói chứ không thấy ở đâu kìa",That's amazing! I can't even find it anywhere.,"So fancy, you talk about it but I don't see it anywhere.",You're here but I can't see you anywhere!,A
8631,train,Chỉ là mua mỹ phẩm thôi mà sao bị nhiều thế?,"It's just cosmetics, why is it so expensive?","I was just buying cosmetics, so why did I get so many?","I just wanted to buy some cosmetics, why are there so many?",B
5928,train,"còn trắng trẻo vậy thì chưa có gì, khi nào da ngâm ngâm vậy đã, lúc đó mới thấm","If your skin is still fair, there's nothing to worry about yet. It'll only really work when your skin gets a little tanned.","If you're still that fair-skinned, it's nothing; once your skin is a bit tanned, that's when you'll truly feel it.","it's still this fair, so there's nothing special yet. Once the skin is already this tanned, then it will really get absorbed",B
1578,train,Sao biết ngon. Tưởng vậy là dễ thương đỏ?,How do you know it's delicious? Did you think it was cute and red?,"How do you know it's delicious? You thought that was cute, huh?",How do you know it's delicious? I thought it would be cute and embarrassing?,A
1862,train,Làm sao mà không cho lấy gái Hà Tĩnh lại khuyên lấy gái Nghệ,How can you forbid marrying a girl from Ha Tinh but advise marrying a girl from Nghe An?,"How is it that they tell you not to marry a girl from Ha Tinh, yet advise you to marry a girl from Nghe An?",How come you're not letting me marry a girl from Hà Tĩnh but advising me to marry a girl from Nghệ instead?,C
304,train,Câu chuyện này kể đến già nhỉ?,"This story is something you can tell even when you're old, isn't it?","This story will be told until old age, won't it?",Does this story go until they're old?,A
1730,train,Thử xem xe với đá xem cái nào cứng hơn đấy mà.,Let's compare the car with a rock to see which is harder.,Try seeing whether the car or the rock is harder.,"Let's see which is harder, a car or a rock.",C
839,train,Và bạn giờ có chiếc này mà đi thì tuyệt nhỉ.,"And now you have this to ride, that's great, isn't it?",And it would be wonderful if you had this one to ride now.,"And if you have this one to go out in now, that would be amazing.",A
6131,train,Dầm đường thêm đá là tuyệt vời,Adding stones to the road surface is great.,Adding more stones to the roadbed is wonderful.,Adding ice is amazing,C
