standard,A,B,C,winner
"Mẹ ơi thấy bà ấy leo mà không sợ bị ngã, mà sợ kiến cắn bà ấy.","Mom, I saw her climbing and she wasn't afraid of falling, but she was afraid of being bitten by ants.","Mom, seeing her climb without being afraid of falling, but I'm afraid ants will bite her.","Mom, I saw her climbing and she's not afraid of falling, but she's afraid of ants biting her.",
Tiền đâu mà lắm vậy bà con nhỉ?,"Where did all that money come from, folks?","Where does all that money come from, everyone?","Where does all this money come from, folks?",
bạn gửi hỏi người ta gửi cho đồng bào lũ lụt miền Bắc chỗ nào người ta chỉ cho nhé,"You can ask people where to send aid to flood victims in the North, and they'll show you.","You should ask them where to send [donations] to the flood-affected people in the North, and they will show you.","You ask them where to send donations for flood victims in the North, they'll show you the right place, okay?",
"Lên lịch đi nào, qua giờ đang xem đây.","Let's schedule it, I've been watching it for ages.",Let's set a schedule; I've been watching this for an hour now.,"Let's make plans for later, it's past the hour and I'm watching something right now.",
May mà em chưa giống thế này,"Luckily, I don't look like this yet.","Luckily, I'm not like this yet.",It's a good thing I'm not like this yet.,
"Lại một cái Tết không về, không phải không có tiền mà tại bận công chuyện","Another Lunar New Year away from home, not because I don't have money, but because I'm too busy with work.","Another Lunar New Year without going home; it's not that I don't have money, but because I'm busy with work.","Another Tet away from home, not that I don't have money but because I'm busy with work.",
Mỗi tỉnh làm một ga chứ.,Each province should have its own train station.,"Each province should have one station, right?",Each province should build one station.,
"Vòng xoay Duy Tân nhé, nhà mình lúc trước ở đấy mà.","The Duy Tan roundabout, my house used to be there.","Duy Tan roundabout, my family used to live there.","The Duy Tân roundabout, right? My house was there before.",
Uống cho lắm. Ô tô hay xe máy gì cũng lo phạt nặng. Mày gọi nhờ đi.,"Drink too much. Whether you drive a car or a motorbike, you'll get a hefty fine. You call someone for help.","Drink as much as you want. Whether it's a car or a motorbike, they're all likely to be heavily fined. You should call someone for a ride.","I drank way too much. Whether it's a car or motorcycle, they all risk heavy fines. You go ahead and call someone for help.",
Vậy mà họ lại đưa tin gì đâu vậy nhỉ?,But what news did they even report?,"And yet, what on earth were they reporting?","And yet, what kind of news are they reporting?",
nên về Than Uyên chơi một lần không vợ nhỉ?,Should I go to Than Uyên for a visit without my wife?,"Should we visit Than Uyen once, honey?","Should I go back to Than Uyên for a visit once, wife?",
"mày làm gì dại dột vậy, có gì từ từ tính",Why are you doing something so foolish? Let's think about it calmly.,Why did you do something so foolish? Let's take it slow and figure things out.,Why are you doing something so reckless? Take it slow and think it through.,
có được nằm không ấy nhỉ?,Can I lie down?,I wonder if lying down is allowed?,I wonder if I can lie down there?,
Sao nhìn như nồi cám thật nhưng mà đây là món gì vậy mọi người? Mình không biết thật.,"It looks like a pot of animal feed, but what is this dish, everyone? I really don't know.","Why does it look like actual bran, but what dish is this, everyone? I really don't know.","It looks like a pot of pig feed but what dish is this, everyone? I really don't know.",
"sắp xếp về trước nửa tháng để dọn nhà là vừa nhé con, chứ như năm ngoái dọn không kịp đấy.","It's best to arrange to come home two weeks in advance to clean the house, otherwise we won't have enough time like last year.","Arrange to come back half a month early to clean the house, otherwise, like last year, we won't be able to clean it in time, my child.","Come back half a month earlier to clean the house, that's just the right timing, dear, because last year we couldn't finish cleaning in time.",
quán này chill nhỉ?,"This place is so chill, isn't it?","This place is chill, isn't it?","This place is so chill, right?",
3 năm trời nhỉ.,"Three years, huh?","It's been 3 years, hasn't it?","3 years already, huh.",
Chuột chạy rầm rầm thấy sợ,The rats were scurrying around so loudly it was frightening.,"The rats are running around noisily, it's scary.","A mouse ran by making a thudding noise, I'm scared",
