original_index,split_source,standard,A,B,C,winner
8374,train,"Khi nãy, bố tôi mới bắt được con chuột lớn hơn một ký kìa, đang nướng xông khói nhìn thèm lắm.","My dad just caught a rat that weighed over a kilogram; he's grilling it now, and it looks so tempting.","A moment ago, my father caught a rat weighing over a kilogram; it's being smoked and looks delicious.","Just a little while ago, my dad caught a rat weighing over a kilogram, and it's being smoked. I'm really craving it.",A
8298,train,tao chỉ nói là tao hết ảnh rồi đấy nhé,"I'm just saying I've run out of photos, okay?",I'm just saying that I've run out of photos.,"I'm just telling you that I've run out of photos, okay?",A
10109,train,Lá cờ Việt Nam sao mà hình chữ nhật dựng đứng vậy nhỉ?,Why is the Vietnamese flag a vertical rectangle?,Why is the Vietnamese flag a vertical rectangle?,I wonder why the Vietnamese flag is a vertical rectangle like that?,C
5589,train,hôm nào làm cái này được này,I can do this sometime.,I can do this some day.,Someday I'll be able to make this,A
9417,train,Chút đứng nhà nhìn ra xem thấy không nhé,Let's stand at home and look out to see if we can see anything.,"Wait a bit, stand at the house and look out to see if you can see it.","Wait, I'm standing at home looking out. Can you see it?",B
5644,train,"Như tôi rì, ai mà bắt được.","As for me, nobody can catch me.","Like me, who could possibly catch me.","As for me, no one could catch it.",A
5060,train,đây rồi chứ đâu nữa,"It's right here, where else could it be?","It's right here, where else would it be?","Here it is, right?",B
1729,train,Gu tao chúng mày ơi mong chồng tao không thấy bình luận này.,"Hey guys, I hope my husband doesn't see this comment.","This is my taste, guys; I hope my husband doesn't see this comment.","Hey my friends, I hope my husband doesn't see this comment.",B
7696,train,"không đi thì thôi, mày làm giọng đấy đi nhé","If you don't want to go, then don't, but keep using that tone of voice.","Fine, if you're not going, then don't. Go ahead and keep using that tone.","If you're not going, then forget it. You go do that impression, okay?",B
2205,train,Thấy tôi không biết rồi lừa hay sao,Did you think I didn't know and then try to trick me?,Do they think I don't know and are trying to trick me or something?,They saw that I didn't know and then tricked me or something,A
9212,train,bà ấy leo cây thấy cưng khủng khiếp.,She looked incredibly cute climbing the tree.,She looks incredibly cute climbing the tree.,She climbed a tree and found it incredibly cute.,B
9174,train,Cô coi làm về mắc lụt đó cô.,"She's working on a project about flooding, ma'am.","Teacher, please make a video about flooding.","You treat it as something about flooding, you.",B
10615,train,một ký là 150 nghìn là đúng rồi chứ lừa chi nhỉ?,"150,000 VND per kilogram is correct, why would they cheat?","150 thousand per kilo is correct, so why bother scamming?","One kilogram is 150 thousand, that's correct, right? I'm not lying, am I?",
8674,train,Bố mẹ làm gì mà giàu vậy nhỉ?,How did my parents become so rich?,What do my parents do that makes them so rich?,I wonder what my parents do to be so rich?,B
