standard,A,B,C,winner
"Đang ở Trà Ôn đây này, mà có trồng đâu mà ăn chứ","I'm right here in Trà Ôn, but they don't grow anything to eat.","I'm here in Tra On, but I didn't plant anything to eat.","I'm in Tra On right now, but there's nothing planted here to eat anyway.",
"Góc này ở số 7 Bacu này , chiều mà uống một ly trà mát lắm!",This corner at 7 Bacu Street is perfect for a refreshing cup of tea in the afternoon!,This corner is at 7 Bacu; having a glass of tea here in the afternoon is very refreshing!,This spot is at number 7 Bacu—it's so refreshing to drink a glass of tea here in the afternoon!,
"Ừ bạn, sắp tới còn to hơn nữa, chứ thế này sao ăn thua gì, cố gắng bằng vợ chồng bạn thôi.","Yeah, it's going to get even bigger soon, this is nothing compared to what you and your wife have achieved. We'll just try to be as good as you and your wife.","Yes, it will be even bigger soon; this is nothing compared to that. I'll try to be as good as you and your spouse.","Yeah, my friend, it's going to get even bigger soon, but right now it doesn't really make much difference. I'm just trying to keep up with you and your spouse.",
"Về ôn thi ấy chị, mà lịch buồn cười lắm, thi một môn xong nghỉ 11 ngày, rồi thi tiếp một môn nghỉ tiếp 8 ngày, mà 6 môn như vậy, nên chắc em về một đợt thôi","Regarding exam preparation, the schedule is ridiculous. After one exam, there's an 11-day break, then another exam and another 8-day break. There are 6 exams like that, so I'll probably only be able to come home for one visit.","Regarding returning for exam prep, the schedule is quite funny; after finishing one subject, there's an 11-day break, then after the next subject, another 8-day break, and it's like that for 6 subjects, so I'll probably just go back once.","About exam preparation, sister. The schedule is so ridiculous. Take one exam, then have 11 days off, then take another exam, then have another 8 days off. And there are 6 subjects like that, so I'll probably just go home for one trip.",
"Mua con này đi ngoại, chứ đợi tới năm Tân Mùi nhỉ?","Buy this one for overseas travel, instead of waiting until the Year of the Goat, right?","Buy this one, Grandma, or are we waiting until the year of the Goat?","Buy this one and go abroad, or else we'll have to wait until the year Tân Mùi, right?",
Vừa đấm vừa xoa mà đấm kiểu này xoa không nổi,"Trying to both punish and appease, but this kind of punishment won't work.","Giving and taking, but when the blow is this hard, the soothing doesn't help.","Punching this hard, you can't even rub it better",
Em khiếp luôn! Đang đi phơi phới đi nữa. Nó ào cho cái.,"I was terrified! I was just walking along happily, and then it suddenly attacked me.",I'm terrified! I was walking along happily. Then it just suddenly poured down.,"I'm scared to death! I was walking along happily, and then something suddenly rushed at me.",
Mà toàn già rồi chứ phải trẻ đâu?,"But they're all old people, not young ones, are they?","But they're all old, not young?","And they're all old already, not young at all?",
"Đâu núi, đâu non, đâu chẳng thấy.","No mountains, no hills, nothing can be seen.","Where are the mountains, where are the hills, I see none.","Where are the mountains, where the hills, nowhere to be seen.",
tao cử mày đi chụp ảnh về tao xem,I'm sending you to take some photos for me to see.,I'll send you to take some photos for me to see.,Go take some photos and come back so I can see them,
