standard,A,B,C,winner
Tranh thủ kiếm con tối kho kìa.,Take advantage of the opportunity to catch some fish in the dark.,"Take the opportunity to find a ""tối kho"" (dark-colored/deep-fried) one.",Take the opportunity to look for a night job tonight.,
"Sao mà họ giàu thế nhỉ, tuyệt vời và ngưỡng mộ.","Wow, they're so rich! Amazing and admirable.","How are they so rich, it's wonderful and I admire them.",How are they so rich? Amazing and admirable.,
Sao mày nói tao ất ơ vậy mày.,Why are you calling me stupid?,Why do you call me so insignificant?,Why are you being so wishy-washy with me like that?,
Tầm này anh em có kèo là chơi hết mình.,"At this point, if there's a bet, we'll go all out.","At this time, if we have a plan, we're going all out.","Around this time, we've got a game on and we're going all out.",
"Có mấy cái cửa tận trong kia mà không vào được, cao điểm vào được không bạn?",There are a few gates further inside that are impassable; is it possible to get in during peak hours?,There are a few doors way back there that I can't get into; can I get in during peak hours?,There are a few doors way inside there that we can't get into. Can we get in during peak hours?,
"Chồng con không lo kiếm đi, đi khắp nơi làm khổ bà con vậy bão ơi là bão.","Instead of focusing on earning a living, he goes around causing trouble for his neighbors, oh what a terrible storm!","My husband doesn't worry about earning a living, but instead goes everywhere causing misery for people; oh storm, oh storm.","Husband and kids don't bother making money, they go around everywhere causing trouble for others, what a mess!",
chứ sắp Tết rồi mà bảo không gần.,"It's almost Tet (Vietnamese New Year), and you're saying it's not close?","But it's almost Tet, and you're saying it's not close.",But it's almost Tet and you say it's not close?,
TÌm cho ra con xe máy nhé chúng mày.,"Find that motorbike, guys.","Find that motorbike, you guys.","Find that motorbike for me, you guys.",
mệt nhé! Không lẽ mua cái rộng rồi nhờ ông ấy qua gắn giúp,That's tiring! Should I buy a larger one and then ask him to come and install it for me?,So tiring! Maybe I should buy a larger one and then ask him to come over and help me install it.,I'm so tired! Do I really have to ask him to come over and install it after buying such a big one?,
Nghỉ 2 ngày không thấy chút bão đâu,We took two days off and saw no sign of a storm.,I've been off for two days and haven't seen any sign of the storm.,Took 2 days off and didn't see any storm at all,
Sợ hay sao mà không thấy nói gì.,Are they scared or something? They're not saying anything.,Are you scared or something that you aren't saying anything?,"Scared or what, why aren't they saying anything?",
Biết ngay gì đâu cũng lên báo.,"I knew it, but it ended up in the news.","I knew it, everything ends up in the news.",I knew it - anything and everything ends up on the news.,
"Nóng vã hết mồ hôi, chẳng mưa chứ, chỉ chớp thôi.","It's so hot I'm sweating profusely, but it's not raining, just lightning.","It's so hot I'm drenched in sweat; there's no rain, only lightning.","So hot I'm drenched in sweat, not even raining, just lightning flashes.",
"giờ không thấy luôn, mà ăn bột bột ngon nhỉ.","I can't find it anymore, but the floury texture was delicious, wasn't it?","I don't see it anymore, but the powdery stuff tastes delicious, doesn't it?","Now I can't find it at all, but eating bột is actually really delicious though.",
"tao có mày rồi tao không lo đâu, chứ mà tao nghĩ tao cũng đảm đang chịu khó lắm chứ","I have you, so I don't have to worry. Besides, I think I'm quite capable and hardworking myself.","I have you, so I'm not worried; but I also think I'm quite capable and hardworking.",I have you now so I don't worry at all. But I think I'm also pretty capable and hardworking.,
đại gia tương lai đây chứ đâu nữa bạn nhỉ?,"This is the future tycoon, isn't it?","This is a future tycoon right here, isn't it?","So this is the future tycoon right here, isn't it?",
gì chứ 3 triệu nắm chắc trong tay luôn,What? 3 million is definitely in my hands!,"As for that, I've definitely got 3 million in my hand.","What are you talking about, 3 million is already firmly in my hands",
Lỡ viết cam kết 6-7 mà bây giờ còn 3 nữa,"I accidentally wrote a commitment for 6-7 months, but now there are only 3 left.","I accidentally wrote a commitment for 6-7, but now there are only 3 left.",I made 6-7 commitments but now only have 3 left,
