standard,A,B,C,winner
Vậy đoạn đấy lái thẳng lên cây cột đèn rồi rẽ phải được không mọi người? Từ trước đến giờ toàn lái như vậy,"So, is it okay to drive straight up to the lamppost and then turn right? That's how I've always driven.","So can I drive straight to the lamp post and then turn right, everyone? I've always driven that way until now.","So in that part, can I drive straight ahead to the lamp post and then turn right, everyone? I've always driven like this.",
Trung thu năm nay ai làm lại Đô Lương.,Who will recreate the atmosphere of Do Luong for this year's Mid-Autumn Festival?,Who can top Do Luong this Mid-Autumn Festival.,Who's doing the Mid-Autumn Festival again in Đô Lương this year?,
Khánh Trang Làm gì đấy bác?,"Khanh Trang, what are you doing, sir?","Khánh Trang, what are you doing?","Khánh Trang, what are you doing there?",
"Chưa thấy định nghĩa được chữ ""gì"" nhỉ?","I haven't seen a definition of the word ""what"" yet.","I haven't seen a definition for the word ""gì"" yet, have I?","I haven't seen the definition of the word ""gì"" yet, have I?",
"tụi này tuổi gì mà đứng hàng chung nghề với anh, anh nghề bốc vác",What age are these guys to be in the same profession as me? I'm a porter.,What right do these people have to be in the same profession as me? My profession is portering.,These kids are way too young to be doing the same job as me. I'm a manual laborer.,
Tôi chẳng thấy đẹp mẹ tôi đẹp hơn.,I don't find her beautiful; my mother is more beautiful.,I don't find it beautiful; my mother is more beautiful.,I don't see anyone more beautiful than my mother.,
"Giỏi nhỉ. Nếu mà vậy thì ngồi văn phòng thôi, không phải đứng bục nha.","That's impressive. If that's the case, then you can just sit in an office, not stand on a podium.","Quite impressive. If that's the case, then just stay in the office; no need to stand on the podium.","Impressive. If that's the case, then just work in the office, no need to stand on a podium.",
"Vào trong đấy nắng khủng khiếp luôn, tắm thì đắt đồ ăn thì đắt và dở","It was incredibly hot inside, showering was expensive, and the food was expensive and bad.","It's terribly sunny in there; the showers are expensive, and the food is both expensive and tasteless.","Going inside, the sun is unbearable, showers are expensive, and the food is expensive and terrible",
Thêm cái cano nữa thì tuyệt vời.,Adding a canoe would be fantastic.,It would be wonderful to add a canoe as well.,One more motorboat would be amazing.,
Mạnh dạn xin Admin địa chỉ nhà bạn này. Tốt nhất là số điện thoại đi. Nhà này cần em dâu.,I'm boldly asking the admin for this person's address. A phone number would be best. This family needs a daughter-in-law.,I'm boldly asking the Admin for this person's address. A phone number would be best. This family needs a daughter-in-law.,"I'm boldly asking Admin for this person's address. Better yet, give me their phone number. Our family needs a daughter-in-law.",
Vợ nhà mày xinh vậy không trách chi mày hay lên sóng.,"Your wife is so beautiful, no wonder you're on TV so often.","Your wife is so beautiful, no wonder you appear on screen so often.","Your wife is so beautiful, no wonder you always go live.",
thì cũng phải ghi vào chứ chúng mày ơi,"You guys have to write it down, right?","Then we have to write it down, you guys.",Then you guys gotta write it down too,
Hết rằm rồi mà họ vẫn bán hoa nhiều thế nhỉ.,"Even though the full moon festival is over, they're still selling so many flowers.","The full moon has passed, but why are they still selling so many flowers?","The 15th day of the lunar month is already over, but they're still selling so many flowers.",
Đặt bia mới về nhà nhậu liền đi chứ đợi gì!,Order some fresh beer and have it delivered to your home right away! What are you waiting for?,"Order some new beer and bring it home to drink right away, what are you waiting for!","Let's order some new beer and head home to drink right away, what are we waiting for!",
Của mình con em hư hỏng là đây chứ đâu nữa?,"This is what a spoiled child looks like, isn't it?",This is exactly where my spoiled younger sister is.,"These spoiled brats of mine are right here, what else would they be?",
Quán bị đốt bán đắt khách quá nên ghen ăn tức ở đây.,The restaurant that was burned down was doing so well that people were jealous and resentful.,"The shop was burned down because it was too popular, so someone was jealous.",The shop was set on fire because it was so popular with customers that someone got jealous and resentful about it here.,
"Gì tội vậy trời, cầu trời cầu Phật, cho họ sự sống!",What a terrible crime! I pray to God and Buddha to grant them life!,"How tragic, I pray to Heaven and Buddha, give them life!","What an injustice, heavens above, I'm praying to heaven and Buddha to grant them life!",
Thành phố đô thị loại 2 gì lạ vậy không biết?,"What kind of strange city is this, a type 2 urban area?",What kind of strange class 2 urban city is this?,What even is a type 2 urban city? I don't understand.,
